Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","586","Pakistan","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","4881","E","Estimated value"
"TCL","Crops and livestock products","586","Pakistan","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","6246","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","1442","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1914","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","2337","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","313","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","16940","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","30070","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","76086","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","4578","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","287","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","52464","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","2161","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","3071","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","15358","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","17775","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","5782","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","2192","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","39656","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","55814","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","24198","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","5745","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","243323","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","270630","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","2421593","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","90311","E","Estimated value"
"TCL","Crops and livestock products","144","Sri Lanka","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","110","E","Estimated value"
"TCL","Crops and livestock products","144","Sri Lanka","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1404","E","Estimated value"
"TCL","Crops and livestock products","144","Sri Lanka","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","316","E","Estimated value"
"TCL","Crops and livestock products","144","Sri Lanka","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","12","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","17311","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","91539","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","49669","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","4215","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","4137","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","2869","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","16062","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","39","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","18677","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1199185","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","21219","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","99056","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","174883","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","91588","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","679","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","36504","E","Estimated value"
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","226636","E","Estimated value"
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","430200","E","Estimated value"
