Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","108233","E","Estimated value"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","21202","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","437026","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","100876","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","1083184","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","69007","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","14282","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","34099","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","2966","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","2689","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","891765","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","1328671","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","1432721","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","36914","E","Estimated value"
"TCL","Crops and livestock products","400","Jordan","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","52194","E","Estimated value"
"TCL","Crops and livestock products","400","Jordan","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","61922","E","Estimated value"
"TCL","Crops and livestock products","400","Jordan","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","112","E","Estimated value"
"TCL","Crops and livestock products","400","Jordan","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","21781","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","234","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","441","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","921","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","33","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","199714","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","73085","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","24775","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","33576","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","3744","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","800","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","320","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","255","E","Estimated value"
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","198","E","Estimated value"
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","53","E","Estimated value"
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","134","E","Estimated value"
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","45","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","516980","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","811031","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","447909","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","251443","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","799","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","11732","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","3011","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","684","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","12541","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","3591","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","5596","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","1048","E","Estimated value"
